#Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	NCBI gene accession
ENSG00000176697	11	27654893	27722058	BDNF
ENSG00000125864	20	17493905	17569220	BFSP1
ENSG00000242252	1	156242184	156243317	BGLAP
ENSG00000182492153494980	153509546	BGN
ENSG00000145692	5	79111809	79132288	BHMT
ENSG00000015475	22	17734138	17774770	BID
ENSG00000100290	22	43110750	43129712	BIK
ENSG00000136717	2	127048027	127107288	BIN1
ENSG00000110330	11	102347211	102378670	BIRC2
ENSG00000023445	11	102317450	102339403	BIRC3
ENSG00000089685	17	78214186	78225636	BIRC5
ENSG00000136573	8	11486894	11564599	BLK
ENSG00000285369	CHR_HG76_PATCH	8388247	8409603	BLK
ENSG00000197299	15	90717346	90816166	BLM
ENSG00000108578	17	30248203	30292056	BLMH
ENSG00000135441	12	55716037	55720087	BLOC1S1
ENSG00000106605	7	43758680	43807342	BLVRA
ENSG00000168283	10	22321099	22331484	BMI1
ENSG00000168487	8	22165140	22212326	BMP1
ENSG00000125845	20	6767686	6780246	BMP2
ENSG00000125378	14	53949736	53958761	BMP4
ENSG00000153162	6	7726099	7881728	BMP6
ENSG00000101144	20	57168753	57266641	BMP7
ENSG00000107779	10	86756601	86932838	BMPR1A
ENSG00000138696	4	94757955	95158448	BMPR1B
ENSG00000204217	2	202376327	202567751	BMPR2
ENSG00000176171	10	131966455	131982013	BNIP3
ENSG00000157764	7	140719327	140924928	BRAF
ENSG00000012048	17	43044295	43170245	BRCA1
ENSG00000139618	13	32315086	32400266	BRCA2
ENSG00000185024	14	105209286	105315589	BRF1
ENSG00000172270	19	571277	583493	BSG
ENSG00000109743	4	15703065	15738313	BST1
ENSG00000174808	4	74744759	74794523	BTC
ENSG00000169814	3	15601341	15722311	BTD
ENSG00000133639	12	92140278	92145846	BTG1
ENSG00000010671101349447	101390796	BTK
ENSG00000169679	2	110637528	110678063	BUB1
ENSG00000156970	15	40161023	40221136	BUB1B
ENSG00000173372	1	22636628	22639678	C1QA
ENSG00000173369	1	22652762	22661637	C1QB
ENSG00000108561	17	5432777	5448830	C1QBP
ENSG00000204364	CHR_HSCHR6_MHC_MANN_CTG1	31959563	31985058	C2
ENSG00000231543	CHR_HSCHR6_MHC_DBB_CTG1	31879966	31927861	C2
ENSG00000166278	6	31897785	31945672	C2
ENSG00000235696	CHR_HSCHR6_MHC_SSTO_CTG1	31912644	31938328	C2
ENSG00000235017	CHR_HSCHR6_MHC_COX_CTG1	31885329	31933220	C2
ENSG00000226560	CHR_HSCHR6_MHC_MCF_CTG1	31974264	32022117	C2
ENSG00000206372	CHR_HSCHR6_MHC_QBL_CTG1	31888164	31936056	C2
ENSG00000125730	19	6677704	6730562	C3
ENSG00000244207	CHR_HSCHR6_MHC_DBB_CTG1	31964204	31984862	C4A
ENSG00000206340	CHR_HSCHR6_MHC_QBL_CTG1	31972402	31993060	C4A
ENSG00000244731	6	31982057	32002681	C4A
ENSG00000227746	CHR_HSCHR6_MHC_MCF_CTG1	32091205	32111862	C4A
ENSG00000236625	CHR_HSCHR6_MHC_DBB_CTG1	31996944	32011233	C4B
ENSG00000224389	6	32014795	32035418	C4B
ENSG00000228267	CHR_HSCHR6_MHC_COX_CTG1	31969570	31983859	C4B
ENSG00000228454	CHR_HSCHR6_MHC_SSTO_CTG1	32007416	32028073	C4B
ENSG00000224639	CHR_HSCHR6_MHC_MCF_CTG1	32058468	32058494	C4B
ENSG00000123838	1	207104233	207144972	C4BPA
ENSG00000123843	1	207088860	207099993	C4BPB
ENSG00000039537	5	41142234	41261438	C6
ENSG00000112936	5	40909497	40984643	C7
ENSG00000113600	5	39284140	39424868	C9
ENSG00000104267	8	85463968	85481493	CA2
ENSG00000167434	17	60149942	60170899	CA4
ENSG00000174990	16	87881546	87936580	CA5A
ENSG00000178538	8	60185412	60281400	CA8
ENSG00000107159	9	35673918	35681159	CA9
ENSG00000141837	19	13206442	13633025	CACNA1A
ENSG00000148408	9	137877782	138124624	CACNA1B
ENSG00000151067	12	1970786	2697950	CACNA1C
ENSG00000285479	CHR_HG1815_PATCH	1970786	2703922	CACNA1C
ENSG00000157388	3	53328963	53813733	CACNA1D
ENSG0000010200149205063	49233371	CACNA1F
ENSG00000081248	1	201039512	201112451	CACNA1S
ENSG00000153956	7	81946444	82443777	CACNA2D1
ENSG00000165995	10	18140677	18543557	CACNB2
ENSG00000182389	2	151832768	152099475	CACNB4
ENSG00000084774	2	27217369	27243943	CAD
ENSG00000104327	8	90058608	90095475	CALB1
ENSG00000172137	16	71358713	71390436	CALB2
ENSG00000282830	CHR_HSCHR16_4_CTG3_1	71363481	71395224	CALB2
ENSG00000110680	11	14966668	14972354	CALCA
ENSG00000004948	7	93424487	93574730	CALCR
ENSG00000198668	14	90396502	90408268	CALM1
ENSG00000143933	2	47160083	47176921	CALM2
ENSG00000160014	19	46601074	46610782	CALM3
ENSG00000179218	19	12938578	12944489	CALR
ENSG00000070808	5	150219491	150290291	CAMK2A
ENSG00000058404	7	44217150	44334577	CAMK2B
ENSG00000152495	5	111223653	111494886	CAMK4
ENSG00000014216	11	65180566	65212006	CAPN1
ENSG00000092529	15	42359498	42412949	CAPN3
ENSG00000126247	19	36139953	36150353	CAPNS1
ENSG00000137752	11	105025443	105035250	CASP1
ENSG00000003400	2	201182898	201229406	CASP10
ENSG00000106144	7	143288215	143307696	CASP2
ENSG00000164305	4	184627696	184649509	CASP3
ENSG00000165806	10	113679162	113730907	CASP7
ENSG00000064012	2	201233443	201287711	CASP8
ENSG00000132906	1	15490832	15526534	CASP9
ENSG00000143318	1	160190575	160201886	CASQ1
ENSG00000118729	1	115700007	115768781	CASQ2
ENSG00000036828	3	122183683	122291629	CASR
ENSG00000153113	5	96525267	96779595	CAST
ENSG00000121691	11	34438934	34472060	CAT
ENSG00000105974	7	116525001	116561184	CAV1
ENSG00000105971	7	116287380	116508541	CAV2
ENSG00000182533	3	8733802	8841808	CAV3
ENSG00000067955	16	67028984	67101058	CBFB
ENSG00000110395	11	119206298	119313926	CBL
ENSG00000114423	3	105655461	105869552	CBLB
ENSG00000159228	21	36069941	36073166	CBR1
ENSG00000160200	21	43053191	43076943	CBS
ENSG00000187094	3	42257825	42266185	CCK
ENSG00000163394	4	26481396	26490484	CCKAR
ENSG00000110148	11	6259806	6272127	CCKBR
ENSG00000145386	4	121816444	121823933	CCNA2
ENSG00000134057	5	69167135	69178245	CCNB1
ENSG00000110092	11	69641156	69654474	CCND1
ENSG00000118971	12	4273762	4305353	CCND2
ENSG00000105173	19	29811991	29824312	CCNE1
ENSG00000162063	16	2429394	2458854	CCNF
ENSG00000163823	3	46201711	46208313	CCR1
ENSG00000183625	3	46163604	46266706	CCR3
ENSG00000183813	3	32951644	32956349	CCR4
ENSG00000160791	3	46370854	46376206	CCR5
ENSG00000112486	6	167111807	167139696	CCR6
ENSG00000126353	17	40553769	40565472	CCR7
ENSG00000170458	5	140631728	140633701	CD14
ENSG00000177455	16	28931965	28939342	CD19
ENSG00000116824	1	116754430	116769229	CD2
ENSG00000198821	1	167430640	167518610	CD247
ENSG00000139193	12	6444867	6451718	CD27
ENSG00000178562	2	203706475	203738912	CD28
ENSG00000105383	19	51225064	51243860	CD33
ENSG00000174059	1	207880972	207911402	CD34
ENSG00000135218	7	80369575	80679277	CD36
ENSG00000167286	11	118338954	118342744	CD3D
ENSG00000198851	11	118304730	118316175	CD3E
ENSG00000101017	20	46118278	46129863	CD40
ENSG00000102245136648158	136660390	CD40LG
ENSG00000026508	11	35138870	35232402	CD44
ENSG00000117335	1	207752057	207795513	CD46
ENSG00000117091	1	160678746	160711831	CD48
ENSG00000110448	11	61102489	61127852	CD5
ENSG00000116815	1	116514534	116571039	CD58
ENSG00000085063	11	33703010	33736491	CD59
ENSG00000013725	11	60971680	61020377	CD6
ENSG00000129226	17	7579491	7582111	CD68
ENSG00000110848	12	9752486	9760901	CD69
ENSG00000019582	5	150400041	150412929	CD74
ENSG00000105369	19	41877279	41881372	CD79A
ENSG00000007312	17	63928740	63932354	CD79B
ENSG00000121594	3	119524293	119559614	CD80
ENSG00000110651	11	2376177	2397419	CD81
ENSG00000085117	11	44564427	44620358	CD82
ENSG00000114013	3	122055362	122121139	CD86
ENSG00000010278	12	6199715	6238271	CD9
ENSG000000025862691187	2741309	CD99
ENSG00000158825	1	20589086	20618903	CDA
ENSG00000158402	5	138285265	138338355	CDC25C
ENSG00000004897	17	47117703	47189422	CDC27
ENSG00000070831	1	22025511	22101360	CDC42
ENSG00000094804	17	40287879	40304657	CDC6
ENSG00000039068	16	68737292	68835541	CDH1
ENSG00000040731	5	24487100	24644978	CDH10
ENSG00000140937	16	64943753	65126112	CDH11
ENSG00000140945	16	82626965	83800640	CDH13
ENSG00000129910	16	89171748	89195492	CDH15
ENSG00000079112	8	94127162	94217303	CDH17
ENSG00000145526	5	19471296	20575873	CDH18
ENSG00000170558	18	27950966	28177130	CDH2
ENSG00000062038	16	68636189	68722616	CDH3
ENSG00000179776	16	66366622	66404784	CDH5
ENSG00000081138	18	65750252	65890337	CDH7
ENSG00000150394	16	61647242	62037035	CDH8
ENSG00000113100	5	26880597	27121150	CDH9
ENSG00000170312	10	60778331	60794852	CDK1
ENSG00000123374	12	55966781	55972789	CDK2
ENSG00000135446	12	57747727	57756013	CDK4
ENSG00000164885	7	151053815	151057897	CDK5
ENSG00000105810	7	92604921	92836594	CDK6
ENSG00000124762	6	36676460	36687339	CDKN1A
ENSG00000111276	12	12715058	12722369	CDKN1B
ENSG00000129757	11	2883213	2885773	CDKN1C
ENSG00000273707	CHR_HSCHR11_1_CTG7	2883205	2885904	CDKN1C
ENSG00000147889	9	21967753	21995301	CDKN2A
ENSG00000147883	9	22002903	22009305	CDKN2B
ENSG00000123080	1	50960745	50974634	CDKN2C
ENSG00000100526	14	54396849	54420218	CDKN3
ENSG00000129596	5	115804733	115816659	CDO1
ENSG00000237123	CHR_HSCHR6_MHC_DBB_CTG1	31108861	31114200	CDSN
ENSG00000206460	CHR_HSCHR6_MHC_QBL_CTG1	31107496	31112855	CDSN
ENSG00000237114	CHR_HSCHR6_MHC_MANN_CTG1	31160057	31165363	CDSN
ENSG00000237165	CHR_HSCHR6_MHC_MCF_CTG1	31193614	31198966	CDSN
ENSG00000204539	6	31115087	31120446	CDSN
ENSG00000137197	CHR_HSCHR6_MHC_COX_CTG1	31107584	31112941	CDSN
ENSG00000079385	19	42507304	42561234	CEACAM1
ENSG00000245848	19	33299934	33302534	CEBPA
ENSG00000172216	20	50190830	50192668	CEBPB
ENSG00000221869	8	47736913	47738164	CEBPD
ENSG00000092067	14	23117304	23119616	CEBPE
ENSG00000170835	9	133061978	133071863	CEL
ENSG00000143126	1	109249539	109275751	CELSR2
ENSG00000138778	4	103105349	103198445	CENPE
ENSG00000117724	1	214603195	214664571	CENPF
ENSG00000198848	16	55802851	55833337	CES1
ENSG00000262243	CHR_HSCHR16_1_CTG3_1	55799704	55830035	CES1
ENSG00000177143	18	580380	582114	CETN1
ENSG00000087237	16	56961923	56983845	CETP
ENSG00000204359	CHR_HSCHR6_MHC_MANN_CTG1	31985034	31990148	CFB
ENSG00000241534	CHR_HSCHR6_MHC_DBB_CTG1	31927837	31934271	CFB
ENSG00000243649	6	31945650	31952084	CFB
ENSG00000242335	CHR_HSCHR6_MHC_SSTO_CTG1	31938304	31944738	CFB
ENSG00000239754	CHR_HSCHR6_MHC_COX_CTG1	31933196	31939630	CFB
ENSG00000243570	CHR_HSCHR6_MHC_MCF_CTG1	32022093	32028527	CFB
ENSG00000241253	CHR_HSCHR6_MHC_QBL_CTG1	31936032	31942466	CFB
ENSG00000197766	19	859664	863641	CFD
ENSG00000274619	CHR_HSCHR19_5_CTG2	859680	863666	CFD
ENSG00000000971	1	196652043	196747504	CFH
ENSG00000244414	1	196819757	196832189	CFHR1
ENSG00000205403	4	109740694	109802179	CFI
ENSG00000172757	11	65823022	65862026	CFL1
ENSG00000165410	14	34709113	34714823	CFL2
ENSG00000001626	7	117287120	117715971	CFTR
ENSG00000070748	10	49609095	49665104	CHAT
ENSG00000153922	5	98853985	98928957	CHD1
ENSG00000173575	15	92900189	93027996	CHD2
ENSG00000149554	11	125625665	125676255	CHEK1
ENSG00000276781	CHR_HSCHR14_7_CTG1	92923080	92935293	CHGA
ENSG00000100604	14	92923150	92935285	CHGA
ENSG00000089199	20	5911510	5925353	CHGB
ENSG00000133048	1	203178931	203186704	CHI3L1
ENSG00000133063	1	203212827	203273641	CHIT1
ENSG00000110721	11	68052859	68121444	CHKA
ENSG00000100288	22	50578949	50601455	CHKB
ENSG0000018841985861180	86047561	CHM
ENSG00000128656	2	174799313	175005381	CHN1
ENSG00000168539	11	62908679	62921807	CHRM1
ENSG00000181072	7	136868669	137020255	CHRM2
ENSG00000133019	1	239386565	239915452	CHRM3
ENSG00000180720	11	46385098	46386608	CHRM4
ENSG00000184984	15	33968497	34067458	CHRM5
ENSG00000138435	2	174747592	174787935	CHRNA1
ENSG00000120903	8	27459756	27479883	CHRNA2
ENSG00000080644	15	78593052	78621295	CHRNA3
ENSG00000101204	20	63343223	63378401	CHRNA4
ENSG00000169684	15	78565520	78595269	CHRNA5
ENSG00000175344	15	31923438	32173018	CHRNA7
ENSG00000274542	CHR_HSCHR15_4_CTG8	32181324	32319966	CHRNA7
ENSG00000282088	CHR_HSCHR15_6_CTG8	30371954	30510022	CHRNA7
ENSG00000160716	1	154567778	154580013	CHRNB2
ENSG00000147432	8	42697366	42737407	CHRNB3
ENSG00000117971	15	78624111	78727754	CHRNB4
ENSG00000135902	2	232525993	232536667	CHRND
ENSG00000108556	17	4897771	4934438	CHRNE
ENSG00000196811	2	232539692	232548115	CHRNG
ENSG00000183196	16	75472052	75495445	CHST6
ENSG00000213341	10	100188300	100229596	CHUK
ENSG00000176194	18	12254361	12277595	CIDEA
ENSG00000179583	16	10866222	10943021	CIITA
ENSG00000114737	3	50606490	50611831	CISH
ENSG00000166165	14	103519667	103522833	CKB
ENSG00000188037	7	143316111	143352083	CLCN1
