#OMIM	Chromosome	Start	End
150370	3	39406719	39412541
613568	1	35268693	35422057
164850	1	39895427	39901916
109760	5	63957873	63962444
220200	3	129500000	149200000
136537	19	51745171	51751877
603957	1	147183962	147225797
147680	4	122449478	122456724
138970	17	40015439	40017812
606431	2	233691669	233773299
614758	5	150708439	150759094
612001	15	30900000	33400000
107200	18	7200000	39500000
313850	23	121800000	131300000
607086	11	114600000	130900000
606325	6	105000000	114200000
114830	21	36070023	36073163
116880	9	87725436	87731468
116930	11	112961419	113278435
134660	11	67583811	67586652
136130	1	171248470	171285977
601579	19	2269485	2273487
602259	21	37073183	37203117
602307	8	86342546	86468502
602587	1	6264271	6393765
603213	16	29790733	29805542
603249	22	29554807	29581112
604031	10	100347232	100364825
604105	20	59863276	59933699
604148	17	28473356	28497780
604230	16	75596867	75623280
607249	15	43628502	43648883
607601	19	4815931	4831711
604998	3	9757344	9769986
605007	21	26917921	26967757
605237	1	180632021	180890278
605767	8	80967809	81112067
609711	19	1597168	1605461
609931	12	56158358	56161578
609966	19	38384266	38388602
613191	10	75094431	75109220
177040	10	69057532	69104810
153455	5	122063194	122078258
162860	19	43353685	43366062
170270	5	102754782	103031104
176851	6	149749694	149811420
176894	10	50990887	52298349
179780	16	89613307	89641539
182271	1	153001746	153003855
600340	16	57256096	57284671
600345	4	74744758	74794717
601141	3	156118215	156542647
