#Chromosome	End	OMIM	Start
5	91164436	602851	90558795
16	4937147	602871	4882506
5	90409785	602907	90392256
23	116174973	300034	116170743
23	49175234	300112	49171897
23	49264931	300292	49250435
23	66040124	300353	66021737
23	33339459	300377	31119218
23	86047557	300390	85861179
23	37813460	300481	37780058
23	106930860	300520	106900163
23	129592555	300535	129540258
23	139563458	300746	139530719
23	105958609	300791	105821941
23	107244246	300933	107206610
23	54448031	300945	54440374
23	10237659	302910	10156944
23	106038726	314200	106032434
23	106038726	314375	106032434
8	90053632	222745	90001351
11	125676255	603078	125624909
16	66918884	603118	66908121
7	66360442	603125	66205313
1	215237092	603219	215002919
17	38799904	603261	38765690
11	103479862	603297	103109425
6	133895536	603306	133889112
9	128542291	603371	128504691
12	80937914	603380	80792519
6	28534954	603435	28525880
9	96619842	603505	96492742
22	38181829	603604	38111494
8	71844495	603628	71841541
19	8323339	603685	8321495
12	56044696	603701	56041917
7	88202888	603709	87934142
3	190322445	603718	190305706
8	94896670	603775	94880223
5	140043674	603818	139846778
1	161238622	603881	161229665
7	84515188	603961	83955776
17	64132468	604033	64039141
5	137887850	604103	137867281
20	59933699	604105	59863276
20	62937951	604140	62877737
3	4985322	604256	4979419
6	106325819	604261	106184475
3	48662885	604264	48636462
22	50526438	604272	50523567
20	23637954	604312	23626705
11	236930	604481	215029
6	13615157	604483	13574216
19	6751529	604504	6739679
6	105137156	604577	105096821
8	31176137	604611	31033748
16	70801157	604632	70687438
1	62606312	604774	62597519
8	72094884	604775	72021249
3	43734370	604780	43690869
3	113629578	606816	113532295
20	48827998	606905	48624251
18	268046	606930	214347
16	67944119	606967	67939749
10	102633534	607035	102502800
16	48249972	607040	48164841
17	3557811	607066	3510501
1	11806102	607093	11785722
1	209806174	607199	209785616
1	160186979	607321	160151602
7	37900396	607421	37848596
12	6942320	607462	6924458
13	74168294	607531	73686011
6	30717987	607593	30699806
11	6394997	607608	6390473
2	218702716	607652	218672048
11	125928842	607663	125903327
7	874933	607723	815556
14	58648320	607861	58634060
7	45076469	607929	44999745
1	84415894	608057	84398531
1	8026308	608069	8011724
16	3256775	608107	3242026
2	199471265	608148	199269499
2	112541738	608291	112482126
2	210679106	608307	210477684
4	826128	605032	784956
9	83707978	605046	83659967
16	7713342	605104	5239751
1	151771329	605138	151762968
5	141636855	605166	141620875
19	49441526	605208	49429400
7	138799838	605239	138706293
12	8066358	605246	8056843
19	7534008	605248	7522623
7	114693771	605317	114086326
6	90296907	605394	89926527
11	6474458	605493	6448612
11	66347628	605517	66345373
1	161964069	605537	161766319
17	17496394	605550	17494436
2	161985275	605556	161620962
7	99144117	605568	99027434
12	130412707	605571	130337886
6	87512338	605634	87472924
13	77027163	605653	76992596
13	77027163	605704	76992596
17	70135607	605722	70075224
4	56822209	605753	56809859
6	24383291	605755	24171754
2	238452249	605758	238426926
16	31528803	605821	31527899
19	15058292	605848	15049479
2	232583644	605895	232550586
16	986978	605923	981769
10	132786146	605955	132782228
4	190185910	606009	190173773
3	115147287	606025	114314499
1	110346680	606077	110339322
19	3700485	606102	3630180
17	12768948	606127	12665889
4	10040247	606142	9771124
11	62709618	606158	62690261
19	4182562	606211	4174108
14	95158262	606241	95086227
11	126294932	606252	126283086
10	105265241	606285	104641289
2	201781152	606352	201700266
11	116792419	606368	116789366
11	66026517	606389	66016751
2	69249326	606410	69013143
2	69249326	606463	69013143
20	62182513	606472	62143764
19	8308357	606475	8302126
5	81230161	606614	80960362
9	16870669	608669	16409502
15	75357114	608844	75346637
19	49713730	608846	49690671
19	49713730	608866	49690671
5	1225110	608893	1201594
6	135497770	608894	135283531
17	59950573	608938	59893045
22	43089427	608955	43039515
5	135941995	609087	135930296
6	42693504	609134	42563953
13	24922888	609279	24882278
20	63006963	609331	63005926
20	63006963	609416	63005926
19	48758329	609436	48755523
5	177311897	609450	177305498
19	56061809	609658	55999725
14	75127636	609798	75079352
17	81961186	609847	81952506
1	42473380	609853	42456340
11	77610355	609914	77589634
11	77610355	610016	77589634
3	122730839	610028	122680725
8	42405936	610029	42391623
11	70189529	610108	69985906
1	32205386	610162	32200594
14	58551296	610178	58427384
11	75732952	610270	75717818
17	5486224	610304	5471253
9	5778632	610354	5629029
2	218292576	610364	218274191
10	101007835	610454	100997064
4	128875223	610514	128809686
3	126101549	610803	126006356
20	432138	610924	408049
7	144410421	610934	144396804
7	98209637	610989	98106861
9	123268585	611138	123109493
9	105776628	611236	105694540
1	167022213	611368	166921120
10	133568274	611486	133553899
7	65982229	611499	65960683
6	33207943	611500	33207834
5	65829282	611530	65722204
1	151699079	611541	151612026
6	73369791	611689	73368554
7	151052755	611741	151048291
10	89536028	611910	89430298
10	51699594	611968	51695485
12	52015888	612027	52006945
17	10838086	612068	10822469
1	151159748	612112	151156648
6	36313954	612121	36242522
17	35743520	612128	35731638
8	68237031	612139	67951917
2	127429245	612283	127418142
19	49118463	612331	49114338
5	139482757	612374	139475532
7	29917065	612432	29806553
17	69327132	612503	69244310
5	128538244	612570	128257908
11	122872642	612597	122838418
6	116932162	612659	116877217
11	112233972	612719	112226427
20	59026653	612901	59016025
21	28992987	613083	28928143
12	112153603	613197	112125544
2	677405	613220	663876
14	104180897	613231	104138722
1	204412453	613257	204398683
7	12243366	613413	12211293
8	64583626	613483	64580364
8	64583626	613487	64580364
2	74135393	613555	73982035
19	36111144	613583	36054880
6	127918630	613607	127708193
14	23418062	613613	23417986
20	34990496	613614	34990375
1	245709431	614026	245154984
17	81125948	614059	81125882
4	153339316	614141	153152162
10	78029514	614258	77975148
18	75289945	614427	75210796
1	70152425	614453	69567921
16	58515402	614463	58463703
16	28966464	614525	28950991
15	54633439	614568	53837572
19	44710717	614591	44699150
7	16421537	614631	16087524
11	117098452	614776	116843409
9	35079941	602956	35073838
10	17130491	602997	16823965
21	35049333	151385	34787800
23	154097730	300005	154021572
3	53192716	176977	53161208
1	43623671	179590	43522237
3	184173613	601368	184155310
6	166168668	601397	166157641
16	75647686	601421	75627723
3	15049272	601426	14947582
11	65858179	601442	65854672
16	75536107	604817	75528529
4	5829042	604831	5711198
2	207173850	604865	207074136
5	1155886	604879	1050383
20	10434221	604896	10401008
11	104898669	608633	104885717
12	10001893	606783	9986118
24	2787681	480000	2786854
24	2787681	152200	2786854
5	122078258	153455	122063194
7	76067507	154100	76048105
18	50954256	154270	50878701
16	89920971	155555	89918861
11	1110507	158370	1074874
11	1036717	158374	1012822
17	10678346	160720	10628526
19	13098795	164005	12995474
7	128257628	164160	128241200
11	128587592	164720	128458760
12	68850685	164785	68808148
4	54740714	164920	54657927
1	50203771	168360	50048054
18	31598820	176300	31591876
20	4701587	176640	4686455
12	112509917	176876	112418914
1	204166336	179820	204154818
1	68450321	180069	68428821
17	7633382	182205	7614063
5	524448	182307	470455
5	177412020	182309	177384433
6	21598618	184430	21593750
9	133356486	185620	133351757
12	6470676	185880	6462236
1	47232388	187040	47216289
6	169253845	188061	169215784
16	66550411	188250	66508002
19	41353921	190180	41330322
9	136546047	190198	136494432
6	137883311	191163	137866316
17	7687549	191170	7668401
1	162787404	191311	162630862
1	156881849	191315	156815749
16	20356300	191845	20333050
6	31795927	192150	31777517
19	58574477	194550	58561916
11	66533597	209901	66510634
9	104928231	600046	104781005
9	107332193	600062	107283278
11	102955731	600108	102942994
10	77637968	600150	76869600
9	21995323	600160	21967751
17	82098302	600212	82078337
1	156659527	600347	156642116
18	32222606	600389	32190038
6	30900155	600408	30880957
3	134250858	600524	134157132
1	160428673	600533	160400563
2	191014249	600555	190968988
4	184649474	600636	184627695
10	123150672	600647	123142420
2	190692765	600800	190648859
17	16216474	600849	16029156
17	16216474	600946	16029156
17	41734645	600947	41717738
8	73048122	600951	73008855
4	148444697	600983	148078763
3	197299320	601014	197042559
3	197299320	601019	197042559
20	62367317	601033	62309059
12	124863863	601040	124776855
17	15265325	601097	15229776
19	6370241	601119	6361530
14	74955763	601121	74941829
20	35454748	601146	35433346
8	96160805	601147	96142332
19	1087830	601155	1065958
13	35476688	601280	35473788
10	27745818	601332	27672873
11	120138112	610658	120111285
16	31117650	614901	31108380
17	17206904	614960	17200989
14	74876662	615094	74853032
12	262929	615097	220620
1	39006064	615164	38991243
6	87702232	615165	87674859
8	144474201	615216	144466245
10	16521878	615227	16513733
13	43114212	615339	43023585
17	1271814	615416	1270443
1	43454246	615463	43389883
3	119525089	615534	119498524
19	36008812	615535	36003306
3	196712289	615586	196706272
1	241959061	615687	241957766
19	1174267	615729	1107636
1	150287092	615782	150282553
11	100993940	615936	100687287
5	61546171	615951	61332257
2	179050136	616031	178825307
10	59753454	616246	59736691
9	137205647	616499	137204081
18	61894419	616512	61808066
1	118185227	616554	117953589
17	40755541	616646	40748020
19	38208368	616655	37906821
19	49580571	616759	49555467
14	69715143	616761	69611595
15	40807476	616844	40765160
4	106316682	616899	106041598
3	100577445	616928	100492618
17	44677085	616934	44656416
17	44677085	617059	44656416
1	58546725	617081	58480718
2	43828319	617083	43774038
20	43647298	617094	43590936
17	41966502	617095	41930616
19	35513677	617211	35497219
12	88199886	617218	88142306
8	93731526	617273	93700549
6	116463781	617305	116461374
13	26052015	617324	26044596
12	124989130	617362	124946823
1	151035712	617413	151008404
3	138115861	617570	138061989
9	35911685	617627	35909489
3	150546495	617674	150541997
5	38465479	617683	38258558
6	55402492	617837	55327468
2	24026774	617845	24009021
4	1406441	617869	1402931
1	15118042	618301	13893385
20	300320	618326	297569
5	94714917	618467	94613475
19	6737621	618491	6729913
3	48446651	618585	48432169
10	1132371	618586	1056384
10	1132371	618656	1056384
1	109113830	618682	109105950
11	72845131	618716	72814406
