#Gene stable ID,Gene start (bp),Gene end (bp),Gene name,Chromosome/scaffold name,Strand,NCBI gene accession
ENSG00000162512,30869466,30908758,SDC3,1,-1,SDC3
ENSG00000168267,23192312,23194245,PTF1A,10,1,PTF1A
ENSG00000223858,29672173,29680888,ZFP57,CHR_HSCHR6_MHC_MCF_CTG1,-1,ZFP57
ENSG00000116353,29192657,29230942,MECR,1,-1,MECR
ENSG00000172071,88556741,88627464,EIF2AK3,2,-1,EIF2AK3
ENSG00000203859,119414931,119423035,HSD3B2,1,1,HSD3B2
ENSG00000197594,131808016,131895155,ENPP1,6,1,ENPP1
ENSG00000232099,29671913,29680622,ZFP57,CHR_HSCHR6_MHC_MANN_CTG1,-1,ZFP57
ENSG00000006071,17392498,17476879,ABCC8,11,-1,ABCC8
ENSG00000177628,155234452,155244699,GBA,1,-1,GBA
ENSG00000134438,59267035,59274086,RAX,18,-1,RAX
ENSG00000049768,49250438,49270477,FOXP323-1,FOXP3
ENSG00000262418,198650158,198733963,PTPRC,CHR_HSCHR1_3_CTG31,1,PTPRC
ENSG00000166603,60371062,60372775,MC4R,18,-1,MC4R
ENSG00000160882,142872354,142879846,CYP11B1,8,-1,CYP11B1
ENSG00000180228,178431414,178451512,PRKRA,2,-1,PRKRA
ENSG00000106633,44143213,44198170,GCK,7,-1,GCK
ENSG00000136698,130592165,130599575,CFC1,2,-1,CFC1
ENSG00000131931,42836674,42843325,THAP1,8,-1,THAP1
ENSG00000223852,29672345,29681055,ZFP57,CHR_HSCHR6_MHC_DBB_CTG1,-1,ZFP57
ENSG00000116096,72887382,72892158,SPR,2,1,SPR
ENSG00000159723,67482571,67483813,AGRP,16,-1,AGRP
ENSG00000237412,232520388,232525716,PRSS56,2,1,PRSS56
ENSG00000109424,140559431,140568961,UCP1,4,-1,UCP1
ENSG00000134460,6010689,6062370,IL2RA,10,-1,IL2RA
ENSG00000131979,54842008,54902826,GCH1,14,-1,GCH1
ENSG00000137868,74179466,74212267,STRA6,15,-1,STRA6
ENSG00000119614,74239449,74262738,VSX2,14,1,VSX2
ENSG00000184254,100877714,100916626,ALDH1A3,15,1,ALDH1A3
ENSG00000054983,87837820,87993665,GALC,14,-1,GALC
ENSG00000169252,148825245,148828687,ADRB2,5,1,ADRB2
ENSG00000124089,56248732,56249815,MC3R,20,1,MC3R
ENSG00000196839,44619522,44652233,ADA,20,-1,ADA
ENSG00000204644,29672392,29681110,ZFP57,6,-1,ZFP57
ENSG00000148795,102830531,102837472,CYP17A1,10,-1,CYP17A1
ENSG00000144455,3700814,4467273,SUMF1,3,-1,SUMF1
ENSG00000131910,26911489,26913975,NR0B2,1,-1,NR0B2
ENSG00000218336,182143987,182803024,TENM3,4,1,TENM3
ENSG00000283122,144004916,144008262,HYMAI,6,-1,
ENSG00000102879,30182827,30189076,CORO1A,16,1,CORO1A
ENSG00000118495,143940300,144064599,PLAGL1,6,-1,PLAGL1
ENSG00000102393,101393273,101408012,GLA23-1,GLA
ENSG00000175567,73974672,73983246,UCP2,11,-1,UCP2
ENSG00000268104,116436606,116461458,SLC6A14231,SLC6A14
ENSG00000148408,137877782,138124624,CACNA1B,9,1,CACNA1B
ENSG00000197746,71816298,71851325,PSAP,10,-1,PSAP
ENSG00000175564,74000277,74009085,UCP3,11,-1,UCP3
ENSG00000164326,71719275,71721048,CARTPT,5,1,CARTPT
ENSG00000153029,181033425,181061938,MR1,1,1,MR1
ENSG00000081237,198638457,198757476,PTPRC,1,1,PTPRC
ENSG00000198851,118304730,118316175,CD3E,11,1,CD3E
ENSG00000206338,31850614,31999312,CYP21A2,CHR_HSCHR6_MHC_QBL_CTG1,1,CYP21A2
ENSG00000167286,118338954,118342744,CD3D,11,-1,CD3D
ENSG00000198457,32030953,32034322,CYP21A2,CHR_HSCHR6_MHC_SSTO_CTG1,1,CYP21A2
ENSG00000253729,47773111,47960178,PRKDC,8,-1,PRKDC
ENSG00000163359,237324003,237414207,COL6A3,2,-1,COL6A3
ENSG00000109101,28506243,28538896,FOXN1,17,1,FOXN1
ENSG00000115657,219209772,219218994,ABCB6,2,-1,ABCB6
ENSG00000100299,50622754,50628173,ARSA,22,-1,ARSA
ENSG00000147168,71107404,71112108,IL2RG23-1,IL2RG
ENSG00000152457,14897359,14954432,DCLRE1C,10,-1,DCLRE1C
ENSG00000138031,24819169,24919839,ADCY3,2,-1,ADCY3
ENSG00000175426,96390333,96434143,PCSK1,5,-1,PCSK1
ENSG00000140718,53701692,54158512,FTO,16,1,FTO
ENSG00000155846,149730298,149855022,PPARGC1B,5,1,PPARGC1B
ENSG00000132170,12287368,12434356,PPARG,3,1,PPARG
ENSG00000115138,25160853,25168903,POMC,2,-1,POMC
ENSG00000167371,29811382,29815892,PRRT2,16,1,PRRT2
ENSG00000147133,71366239,71532374,TAF1231,TAF1
ENSG00000235134,32114742,32118110,CYP21A2,CHR_HSCHR6_MHC_MCF_CTG1,1,CYP21A2
ENSG00000156466,96142333,96160806,GDF6,8,-1,GDF6
ENSG00000136827,129812942,129824244,TOR1A,9,-1,TOR1A
ENSG00000288257,74179466,74212267,STRA6,CHR_HG2198_PATCH,-1,STRA6
